Data Structure,time (ms),test number,test type
Binary Search Tree,6377,0,sequential add
Binary Search Tree,4158,0,random add
Binary Search Tree,5543,0,sequential find
Binary Search Tree,2,0,sequential remove
Binary Search Tree,0,0,random find
Binary Search Tree,1,0,random remove
Chained Hash Table,32,0,sequential add
Chained Hash Table,6,0,random add
Chained Hash Table,6,0,sequential find
Chained Hash Table,6,0,sequential remove
Chained Hash Table,0,0,random find
Chained Hash Table,1,0,random remove
Linear Hash Table,3,0,sequential add
Linear Hash Table,2,0,random add
Linear Hash Table,1,0,sequential find
Linear Hash Table,3,0,sequential remove
Linear Hash Table,0,0,random find
Linear Hash Table,1,0,random remove
Red Black Tree,11,0,sequential add
Red Black Tree,14,0,random add
Red Black Tree,5,0,sequential find
Red Black Tree,8,0,sequential remove
Red Black Tree,0,0,random find
Red Black Tree,0,0,random remove
Binary Search Tree,6380,1,sequential add
Binary Search Tree,4193,1,random add
Binary Search Tree,8750,1,sequential find
Binary Search Tree,2,1,sequential remove
Binary Search Tree,0,1,random find
Binary Search Tree,1,1,random remove
Chained Hash Table,26,1,sequential add
Chained Hash Table,5,1,random add
Chained Hash Table,4,1,sequential find
Chained Hash Table,5,1,sequential remove
Chained Hash Table,1,1,random find
Chained Hash Table,0,1,random remove
Linear Hash Table,4,1,sequential add
Linear Hash Table,2,1,random add
Linear Hash Table,1,1,sequential find
Linear Hash Table,2,1,sequential remove
Linear Hash Table,1,1,random find
Linear Hash Table,0,1,random remove
Red Black Tree,12,1,sequential add
Red Black Tree,13,1,random add
Red Black Tree,4,1,sequential find
Red Black Tree,9,1,sequential remove
Red Black Tree,0,1,random find
Red Black Tree,0,1,random remove
Binary Search Tree,6496,2,sequential add
Binary Search Tree,4156,2,random add
Binary Search Tree,5527,2,sequential find
Binary Search Tree,2,2,sequential remove
Binary Search Tree,0,2,random find
Binary Search Tree,0,2,random remove
Chained Hash Table,323,2,sequential add
Chained Hash Table,95,2,random add
Chained Hash Table,94,2,sequential find
Chained Hash Table,50,2,sequential remove
Chained Hash Table,0,2,random find
Chained Hash Table,1,2,random remove
Linear Hash Table,3,2,sequential add
Linear Hash Table,1,2,random add
Linear Hash Table,1,2,sequential find
Linear Hash Table,3,2,sequential remove
Linear Hash Table,0,2,random find
Linear Hash Table,1,2,random remove
Red Black Tree,11,2,sequential add
Red Black Tree,13,2,random add
Red Black Tree,4,2,sequential find
Red Black Tree,8,2,sequential remove
Red Black Tree,0,2,random find
Red Black Tree,1,2,random remove
Binary Search Tree,6318,3,sequential add
Binary Search Tree,4149,3,random add
Binary Search Tree,5525,3,sequential find
Binary Search Tree,2,3,sequential remove
Binary Search Tree,0,3,random find
Binary Search Tree,1,3,random remove
Chained Hash Table,32,3,sequential add
Chained Hash Table,6,3,random add
Chained Hash Table,6,3,sequential find
Chained Hash Table,5,3,sequential remove
Chained Hash Table,1,3,random find
Chained Hash Table,0,3,random remove
Linear Hash Table,4,3,sequential add
Linear Hash Table,2,3,random add
Linear Hash Table,1,3,sequential find
Linear Hash Table,2,3,sequential remove
Linear Hash Table,1,3,random find
Linear Hash Table,0,3,random remove
Red Black Tree,11,3,sequential add
Red Black Tree,12,3,random add
Red Black Tree,5,3,sequential find
Red Black Tree,8,3,sequential remove
Red Black Tree,0,3,random find
Red Black Tree,1,3,random remove
Binary Search Tree,6367,4,sequential add
Binary Search Tree,4162,4,random add
Binary Search Tree,5528,4,sequential find
Binary Search Tree,2,4,sequential remove
Binary Search Tree,0,4,random find
Binary Search Tree,1,4,random remove
Chained Hash Table,25,4,sequential add
Chained Hash Table,6,4,random add
Chained Hash Table,4,4,sequential find
Chained Hash Table,5,4,sequential remove
Chained Hash Table,1,4,random find
Chained Hash Table,0,4,random remove
Linear Hash Table,4,4,sequential add
Linear Hash Table,1,4,random add
Linear Hash Table,1,4,sequential find
Linear Hash Table,3,4,sequential remove
Linear Hash Table,1,4,random find
Linear Hash Table,0,4,random remove
Red Black Tree,11,4,sequential add
Red Black Tree,13,4,random add
Red Black Tree,5,4,sequential find
Red Black Tree,8,4,sequential remove
Red Black Tree,0,4,random find
Red Black Tree,0,4,random remove
Binary Search Tree,6351,5,sequential add
Binary Search Tree,4150,5,random add
Binary Search Tree,5592,5,sequential find
Binary Search Tree,2,5,sequential remove
Binary Search Tree,1,5,random find
Binary Search Tree,0,5,random remove
Chained Hash Table,23,5,sequential add
Chained Hash Table,5,5,random add
Chained Hash Table,3,5,sequential find
Chained Hash Table,5,5,sequential remove
Chained Hash Table,0,5,random find
Chained Hash Table,1,5,random remove
Linear Hash Table,3,5,sequential add
Linear Hash Table,3,5,random add
Linear Hash Table,1,5,sequential find
Linear Hash Table,3,5,sequential remove
Linear Hash Table,0,5,random find
Linear Hash Table,1,5,random remove
Red Black Tree,11,5,sequential add
Red Black Tree,13,5,random add
Red Black Tree,5,5,sequential find
Red Black Tree,8,5,sequential remove
Red Black Tree,0,5,random find
Red Black Tree,0,5,random remove
Binary Search Tree,6322,6,sequential add
Binary Search Tree,4156,6,random add
Binary Search Tree,5544,6,sequential find
Binary Search Tree,3,6,sequential remove
Binary Search Tree,1,6,random find
Binary Search Tree,0,6,random remove
Chained Hash Table,22,6,sequential add
Chained Hash Table,4,6,random add
Chained Hash Table,3,6,sequential find
Chained Hash Table,5,6,sequential remove
Chained Hash Table,1,6,random find
Chained Hash Table,0,6,random remove
Linear Hash Table,4,6,sequential add
Linear Hash Table,2,6,random add
Linear Hash Table,1,6,sequential find
Linear Hash Table,3,6,sequential remove
Linear Hash Table,0,6,random find
Linear Hash Table,1,6,random remove
Red Black Tree,12,6,sequential add
Red Black Tree,14,6,random add
Red Black Tree,5,6,sequential find
Red Black Tree,9,6,sequential remove
Red Black Tree,0,6,random find
Red Black Tree,0,6,random remove
Binary Search Tree,6344,7,sequential add
Binary Search Tree,4168,7,random add
Binary Search Tree,5532,7,sequential find
Binary Search Tree,2,7,sequential remove
Binary Search Tree,0,7,random find
Binary Search Tree,0,7,random remove
Chained Hash Table,21,7,sequential add
Chained Hash Table,4,7,random add
Chained Hash Table,2,7,sequential find
Chained Hash Table,5,7,sequential remove
Chained Hash Table,0,7,random find
Chained Hash Table,1,7,random remove
Linear Hash Table,3,7,sequential add
Linear Hash Table,2,7,random add
Linear Hash Table,1,7,sequential find
Linear Hash Table,3,7,sequential remove
Linear Hash Table,0,7,random find
Linear Hash Table,1,7,random remove
Red Black Tree,11,7,sequential add
Red Black Tree,13,7,random add
Red Black Tree,4,7,sequential find
Red Black Tree,8,7,sequential remove
Red Black Tree,0,7,random find
Red Black Tree,1,7,random remove
Binary Search Tree,6327,8,sequential add
Binary Search Tree,4152,8,random add
Binary Search Tree,5541,8,sequential find
Binary Search Tree,2,8,sequential remove
Binary Search Tree,0,8,random find
Binary Search Tree,1,8,random remove
Chained Hash Table,20,8,sequential add
Chained Hash Table,3,8,random add
Chained Hash Table,3,8,sequential find
Chained Hash Table,4,8,sequential remove
Chained Hash Table,1,8,random find
Chained Hash Table,0,8,random remove
Linear Hash Table,4,8,sequential add
Linear Hash Table,1,8,random add
Linear Hash Table,1,8,sequential find
Linear Hash Table,3,8,sequential remove
Linear Hash Table,1,8,random find
Linear Hash Table,0,8,random remove
Red Black Tree,11,8,sequential add
Red Black Tree,13,8,random add
Red Black Tree,5,8,sequential find
Red Black Tree,8,8,sequential remove
Red Black Tree,0,8,random find
Red Black Tree,0,8,random remove
Binary Search Tree,6333,9,sequential add
Binary Search Tree,4205,9,random add
Binary Search Tree,5536,9,sequential find
Binary Search Tree,2,9,sequential remove
Binary Search Tree,0,9,random find
Binary Search Tree,0,9,random remove
Chained Hash Table,19,9,sequential add
Chained Hash Table,3,9,random add
Chained Hash Table,3,9,sequential find
Chained Hash Table,4,9,sequential remove
Chained Hash Table,0,9,random find
Chained Hash Table,1,9,random remove
Linear Hash Table,3,9,sequential add
Linear Hash Table,1,9,random add
Linear Hash Table,1,9,sequential find
Linear Hash Table,3,9,sequential remove
Linear Hash Table,0,9,random find
Linear Hash Table,1,9,random remove
Red Black Tree,11,9,sequential add
Red Black Tree,13,9,random add
Red Black Tree,4,9,sequential find
Red Black Tree,8,9,sequential remove
Red Black Tree,1,9,random find
Red Black Tree,0,9,random remove
Binary Search Tree,6330,10,sequential add
Binary Search Tree,4160,10,random add
Binary Search Tree,5532,10,sequential find
Binary Search Tree,2,10,sequential remove
Binary Search Tree,0,10,random find
Binary Search Tree,0,10,random remove
Chained Hash Table,41,10,sequential add
Chained Hash Table,8,10,random add
Chained Hash Table,8,10,sequential find
Chained Hash Table,7,10,sequential remove
Chained Hash Table,0,10,random find
Chained Hash Table,1,10,random remove
Linear Hash Table,3,10,sequential add
Linear Hash Table,2,10,random add
Linear Hash Table,1,10,sequential find
Linear Hash Table,3,10,sequential remove
Linear Hash Table,0,10,random find
Linear Hash Table,1,10,random remove
Red Black Tree,11,10,sequential add
Red Black Tree,13,10,random add
Red Black Tree,5,10,sequential find
Red Black Tree,7,10,sequential remove
Red Black Tree,1,10,random find
Red Black Tree,0,10,random remove
Binary Search Tree,6334,11,sequential add
Binary Search Tree,4169,11,random add
Binary Search Tree,5541,11,sequential find
Binary Search Tree,2,11,sequential remove
Binary Search Tree,1,11,random find
Binary Search Tree,0,11,random remove
Chained Hash Table,30,11,sequential add
Chained Hash Table,6,11,random add
Chained Hash Table,5,11,sequential find
Chained Hash Table,5,11,sequential remove
Chained Hash Table,1,11,random find
Chained Hash Table,0,11,random remove
Linear Hash Table,4,11,sequential add
Linear Hash Table,1,11,random add
Linear Hash Table,1,11,sequential find
Linear Hash Table,3,11,sequential remove
Linear Hash Table,1,11,random find
Linear Hash Table,0,11,random remove
Red Black Tree,11,11,sequential add
Red Black Tree,13,11,random add
Red Black Tree,5,11,sequential find
Red Black Tree,8,11,sequential remove
Red Black Tree,0,11,random find
Red Black Tree,0,11,random remove
Binary Search Tree,6333,12,sequential add
Binary Search Tree,4158,12,random add
Binary Search Tree,5545,12,sequential find
Binary Search Tree,2,12,sequential remove
Binary Search Tree,0,12,random find
Binary Search Tree,0,12,random remove
Chained Hash Table,25,12,sequential add
Chained Hash Table,5,12,random add
Chained Hash Table,5,12,sequential find
Chained Hash Table,5,12,sequential remove
Chained Hash Table,0,12,random find
Chained Hash Table,1,12,random remove
Linear Hash Table,3,12,sequential add
Linear Hash Table,2,12,random add
Linear Hash Table,1,12,sequential find
Linear Hash Table,3,12,sequential remove
Linear Hash Table,0,12,random find
Linear Hash Table,1,12,random remove
Red Black Tree,11,12,sequential add
Red Black Tree,13,12,random add
Red Black Tree,4,12,sequential find
Red Black Tree,8,12,sequential remove
Red Black Tree,0,12,random find
Red Black Tree,1,12,random remove
Binary Search Tree,6379,13,sequential add
Binary Search Tree,4160,13,random add
Binary Search Tree,5541,13,sequential find
Binary Search Tree,2,13,sequential remove
Binary Search Tree,0,13,random find
Binary Search Tree,1,13,random remove
Chained Hash Table,21,13,sequential add
Chained Hash Table,5,13,random add
Chained Hash Table,3,13,sequential find
Chained Hash Table,4,13,sequential remove
Chained Hash Table,1,13,random find
Chained Hash Table,0,13,random remove
Linear Hash Table,4,13,sequential add
Linear Hash Table,2,13,random add
Linear Hash Table,0,13,sequential find
Linear Hash Table,3,13,sequential remove
Linear Hash Table,1,13,random find
Linear Hash Table,0,13,random remove
Red Black Tree,11,13,sequential add
Red Black Tree,13,13,random add
Red Black Tree,5,13,sequential find
Red Black Tree,8,13,sequential remove
Red Black Tree,0,13,random find
Red Black Tree,0,13,random remove
Binary Search Tree,6346,14,sequential add
Binary Search Tree,4165,14,random add
Binary Search Tree,5553,14,sequential find
Binary Search Tree,2,14,sequential remove
Binary Search Tree,1,14,random find
Binary Search Tree,0,14,random remove
Chained Hash Table,21,14,sequential add
Chained Hash Table,4,14,random add
Chained Hash Table,3,14,sequential find
Chained Hash Table,4,14,sequential remove
Chained Hash Table,1,14,random find
Chained Hash Table,0,14,random remove
Linear Hash Table,4,14,sequential add
Linear Hash Table,1,14,random add
Linear Hash Table,1,14,sequential find
Linear Hash Table,3,14,sequential remove
Linear Hash Table,1,14,random find
Linear Hash Table,0,14,random remove
Red Black Tree,11,14,sequential add
Red Black Tree,13,14,random add
Red Black Tree,5,14,sequential find
Red Black Tree,7,14,sequential remove
Red Black Tree,1,14,random find
Red Black Tree,0,14,random remove
Binary Search Tree,6332,15,sequential add
Binary Search Tree,4173,15,random add
Binary Search Tree,5532,15,sequential find
Binary Search Tree,2,15,sequential remove
Binary Search Tree,0,15,random find
Binary Search Tree,0,15,random remove
Chained Hash Table,21,15,sequential add
Chained Hash Table,3,15,random add
Chained Hash Table,3,15,sequential find
Chained Hash Table,5,15,sequential remove
Chained Hash Table,0,15,random find
Chained Hash Table,1,15,random remove
Linear Hash Table,3,15,sequential add
Linear Hash Table,2,15,random add
Linear Hash Table,1,15,sequential find
Linear Hash Table,3,15,sequential remove
Linear Hash Table,0,15,random find
Linear Hash Table,1,15,random remove
Red Black Tree,11,15,sequential add
Red Black Tree,13,15,random add
Red Black Tree,5,15,sequential find
Red Black Tree,8,15,sequential remove
Red Black Tree,0,15,random find
Red Black Tree,0,15,random remove
Binary Search Tree,6376,16,sequential add
Binary Search Tree,4164,16,random add
Binary Search Tree,5540,16,sequential find
Binary Search Tree,2,16,sequential remove
Binary Search Tree,0,16,random find
Binary Search Tree,0,16,random remove
Chained Hash Table,20,16,sequential add
Chained Hash Table,3,16,random add
Chained Hash Table,3,16,sequential find
Chained Hash Table,4,16,sequential remove
Chained Hash Table,1,16,random find
Chained Hash Table,0,16,random remove
Linear Hash Table,4,16,sequential add
Linear Hash Table,2,16,random add
Linear Hash Table,1,16,sequential find
Linear Hash Table,2,16,sequential remove
Linear Hash Table,1,16,random find
Linear Hash Table,0,16,random remove
Red Black Tree,11,16,sequential add
Red Black Tree,13,16,random add
Red Black Tree,5,16,sequential find
Red Black Tree,8,16,sequential remove
Red Black Tree,0,16,random find
Red Black Tree,0,16,random remove
Binary Search Tree,6395,17,sequential add
Binary Search Tree,4158,17,random add
Binary Search Tree,5549,17,sequential find
Binary Search Tree,2,17,sequential remove
Binary Search Tree,0,17,random find
Binary Search Tree,1,17,random remove
Chained Hash Table,61,17,sequential add
Chained Hash Table,15,17,random add
Chained Hash Table,14,17,sequential find
Chained Hash Table,10,17,sequential remove
Chained Hash Table,1,17,random find
Chained Hash Table,0,17,random remove
Linear Hash Table,4,17,sequential add
Linear Hash Table,1,17,random add
Linear Hash Table,1,17,sequential find
Linear Hash Table,3,17,sequential remove
Linear Hash Table,1,17,random find
Linear Hash Table,0,17,random remove
Red Black Tree,11,17,sequential add
Red Black Tree,13,17,random add
Red Black Tree,5,17,sequential find
Red Black Tree,8,17,sequential remove
Red Black Tree,0,17,random find
Red Black Tree,0,17,random remove
Binary Search Tree,6341,18,sequential add
Binary Search Tree,4154,18,random add
Binary Search Tree,5554,18,sequential find
Binary Search Tree,2,18,sequential remove
Binary Search Tree,1,18,random find
Binary Search Tree,0,18,random remove
Chained Hash Table,37,18,sequential add
Chained Hash Table,7,18,random add
Chained Hash Table,7,18,sequential find
Chained Hash Table,6,18,sequential remove
Chained Hash Table,1,18,random find
Chained Hash Table,0,18,random remove
Linear Hash Table,4,18,sequential add
Linear Hash Table,1,18,random add
Linear Hash Table,1,18,sequential find
Linear Hash Table,3,18,sequential remove
Linear Hash Table,1,18,random find
Linear Hash Table,0,18,random remove
Red Black Tree,11,18,sequential add
Red Black Tree,13,18,random add
Red Black Tree,5,18,sequential find
Red Black Tree,8,18,sequential remove
Red Black Tree,0,18,random find
Red Black Tree,0,18,random remove
Binary Search Tree,6363,19,sequential add
Binary Search Tree,4175,19,random add
Binary Search Tree,5557,19,sequential find
Binary Search Tree,2,19,sequential remove
Binary Search Tree,0,19,random find
Binary Search Tree,1,19,random remove
Chained Hash Table,28,19,sequential add
Chained Hash Table,6,19,random add
Chained Hash Table,5,19,sequential find
Chained Hash Table,5,19,sequential remove
Chained Hash Table,1,19,random find
Chained Hash Table,0,19,random remove
Linear Hash Table,4,19,sequential add
Linear Hash Table,1,19,random add
Linear Hash Table,1,19,sequential find
Linear Hash Table,3,19,sequential remove
Linear Hash Table,1,19,random find
Linear Hash Table,0,19,random remove
Red Black Tree,11,19,sequential add
Red Black Tree,13,19,random add
Red Black Tree,5,19,sequential find
Red Black Tree,8,19,sequential remove
Red Black Tree,0,19,random find
Red Black Tree,1,19,random remove
